CONTRACT	COST	DOTEST	STATUS	STA_DOT
115	1.6938	1.4451	0	0
116	24.7326	26.1824	0	0
117	23.4677	24.4781	0	0
118	1.7042	1.9675	0	0
119	0.7785	1.0991	0	0
120	47.7088	75.1133	0	0
121	3.0334	3.4122	0	0
122	3.9598	4.19	0	0
123	1.5055	1.7448	0	0
124	14.0408	15.7383	0	0
125	16.9166	16.2708	0	0
126	51.9622	63.6513	0	0
127	38.1588	49.6082	0	0
128	1.2262	0.9538	0	0
129	15.7115	17.5921	0	0
130	43.8547	55.5682	0	0
131	44.9756	51.863	0	0
132	0.2367	0.3254	0	0
133	10.4886	10.4053	0	0
134	2.3951	3.1511	0	0
135	2.6064	3.518	0	0
136	1.3889	1.2331	0	0
137	1.2838	1.5189	0	0
138	2.8498	3.1597	0	0
139	0.7732	1.0104	0	0
140	54.1151	50.8625	0	0
141	38.646	39.9103	0	0
142	29.7603	28.3243	0	0
143	2.5751	2.0586	1	2.0586
144	0.3644	0.4204	0	0
145	1.8252	2.2313	0	0
146	13.6707	14.3362	0	0
147	0.7681	0.7525	1	0.7525
148	17.4788	14.9345	0	0
149	57.3442	54.2731	0	0
150	58.847	60.9741	0	0
151	3.4652	3.311	0	0
152	6.464	8.1854	0	0
153	7.6084	7.1824	1	7.1824
154	1.6977	1.7595	1	1.7595
155	1.3879	1.5162	0	0
156	3.4676	3.9421	0	0
157	10.8217	10.8587	0	0
158	2.5368	2.7093	0	0
159	4.3315	5.4526	0	0
160	102.7045	104.674	0	0
161	13.9803	14.1473	0	0
162	21.4088	21.5201	0	0
163	65.8411	59.4935	0	0
164	6.6677	6.4152	0	0
165	1.0809	0.9956	0	0
166	1.061	0.9529	0	0
167	5.4964	4.1308	1	4.1308
168	12.7204	9.4946	1	9.4946
169	1.2282	1.3226	0	0
170	3.5945	3.3345	0	0
171	17.3147	16.7253	0	0
172	0.3172	0.283	0	0
173	32.9996	28.0589	1	28.0589
174	4.8056	4.8031	0	0
175	6.7309	6.5581	0	0
176	1.1699	0.9994	1	0.9994
177	11.5739	8.9121	1	8.9121
178	1.668	1.3199	1	1.3199
179	6.6853	5.9689	1	5.9689
180	76.2216	78.7119	0	0
181	2.0132	1.8294	0	0
182	12.7008	13.0633	1	13.0633
183	10.5514	11.4865	0	0
184	52.1223	50.9086	0	0
185	56.5486	54.4759	1	54.4759
186	8.5646	9.3814	0	0
187	0.8898	0.6606	1	0.6606
188	2	1.6899	1	1.6899
189	2.3404	1.7974	0	0
190	1.1656	1.2585	0	0
191	0.8211	0.9304	0	0
192	2.0781	2.1425	0	0
193	4.6328	4.7489	0	0
194	73.8555	84.6087	0	0
195	0.9166	1.0031	0	0
196	5.4616	6.2292	0	0
197	7.403	8.1026	0	0
198	8.8844	8.833	1	8.833
199	6.5675	7.5082	1	7.5082
200	18.8439	15.5049	1	15.5049
201	44.4813	41.9779	1	41.9779
202	2.582	1.8195	1	1.8195
203	19.4963	18.8083	1	18.8083
204	2.3528	2.3075	1	2.3075
205	0.3518	0.3921	0	0
206	2.4476	2.2188	1	2.2188
207	6.4892	5.6388	1	5.6388
208	3.9147	3.5853	1	3.5853
209	2.6778	2.4991	1	2.4991
210	21.3004	20.1987	0	0
211	3.0123	3.0319	1	3.0319
212	10.779	8.7872	1	8.7872
213	9.2738	9.0203	0	0
214	2.417	2.4397	1	2.4397
215	0.6579	0.8236	0	0
216	12.0844	12.3033	0	0
217	94.5335	94.7973	0	0
218	70.9811	82.968	0	0
219	9.1206	11.3765	0	0
220	2.5999	3.1959	1	3.1959
221	89.9225	107.436	0	0
222	3.3988	4.2882	0	0
223	8.3366	8.5974	1	8.5974
224	48.3382	62.2504	0	0
225	2.7194	2.2389	1	2.2389
226	29.6628	44.3347	0	0
227	5.7737	7.0107	0	0
228	104.8032	102.7629	0	0
229	4.6239	4.4419	0	0
230	25.5819	27.4105	0	0
231	28.1491	28.1673	0	0
232	1.1981	1.2216	0	0
233	31.8486	33.7304	0	0
234	4.732	5.4801	0	0
235	4.0048	4.9668	0	0
