FOLIO	DOR_C	SITE_CITY	LAND	IMP	S_DATE	SALES	NBHC	NBHD	TOTVAL
129795622	100	LUTZ	178125	487319	11/29/2017	888000	215017	CHEVAL	665444
129795664	100	LUTZ	291519	1235275	1/10/2017	1425000	215017	CHEVAL	1526794
129795884	100	LUTZ	50576	369883	5/31/2017	525000	215014	CHEVAL	420459
129840126	100	LUTZ	191788	393807	8/1/2017	630000	215017	CHEVAL	585595
129840192	100	LUTZ	268824	620816	7/17/2017	1285000	215017	CHEVAL	889640
129840200	100	LUTZ	197669	875916	3/31/2017	1100000	215017	CHEVAL	1073585
129840206	100	LUTZ	195575	574410	6/5/2017	800000	215017	CHEVAL	769985
129841002	100	LUTZ	37646	174981	5/2/2017	250000	215016	CHEVAL	212627
129841028	100	LUTZ	45175	183716	11/22/2017	344900	215016	CHEVAL	228891
129842002	100	LUTZ	107239	224514	1/27/2017	380000	215016	CHEVAL	331753
129842014	100	LUTZ	129423	255217	7/11/2017	549900	215016	CHEVAL	384640
129842020	100	LUTZ	88451	333568	8/8/2017	527500	215016	CHEVAL	422019
129842068	100	LUTZ	78634	248780	9/28/2017	544000	215016	CHEVAL	327414
129842118	100	LUTZ	108576	243860	8/30/2017	545000	215016	CHEVAL	352436
129842124	100	LUTZ	100378	355696	6/23/2017	537500	215016	CHEVAL	456074
129842174	100	LUTZ	215099	412893	4/2/2017	720000	215017	CHEVAL	627992
129843112	100	LUTZ	93469	251975	7/14/2017	399000	215016	CHEVAL	345444
129843130	100	LUTZ	84910	182603	6/16/2017	359900	215016	CHEVAL	267513
129843132	100	LUTZ	85173	254530	10/27/2017	430000	215016	CHEVAL	339703
152976330	100	LUTZ	282145	970359	8/23/2017	1068500	215005	AVILA	1252504
152976334	100	LUTZ	265917	918192	10/10/2017	1025000	215005	AVILA	1184109
154608302	100	TAMPA	311654	543389	6/28/2017	1050000	215005	AVILA	855043
157671414	100	TAMPA	248360	447417	5/16/2017	967500	215005	AVILA	695777
157673018	100	TAMPA	189997	286334	7/25/2017	700000	215005	AVILA	476331
157673074	100	TAMPA	159782	309776	3/31/2017	679000	215005	AVILA	469558
157673076	100	TAMPA	169321	355305	12/18/2017	660000	215005	AVILA	524626
158933006	100	TAMPA	271401	340937	5/26/2017	850000	215005	AVILA	612338
158933022	100	TAMPA	453600	798122	5/30/2017	1900000	215005	AVILA	1251722
158933030	100	TAMPA	382200	394131	5/12/2017	1000000	215005	AVILA	776331
158933385	100	TAMPA	251272	299717	6/26/2017	615000	215005	AVILA	550989
158933392	100	TAMPA	262117	351640	1/16/2018	805100	215005	AVILA	613757
158933414	100	TAMPA	218400	305253	6/20/2017	665500	215005	AVILA	523653
158933422	100	TAMPA	365400	493660	2/1/2017	975000	215005	AVILA	859060
158933428	100	TAMPA	273000	268597	8/4/2017	785000	215005	AVILA	541597
158933458	100	TAMPA	281059	624737	7/10/2017	1425000	215005	AVILA	905796
158933504	100	TAMPA	306320	457042	1/11/2018	750000	215005	AVILA	763362
158933536	100	TAMPA	277189	669488	6/12/2017	1460000	215005	AVILA	946677
158933554	100	TAMPA	267638	874072	5/4/2017	1370000	215005	AVILA	1141710
158933792	100	TAMPA	236341	463541	5/18/2017	925000	215005	AVILA	699882
158934056	100	TAMPA	240648	393012	8/23/2017	770000	215005	AVILA	633660
158934192	100	TAMPA	268447	468478	4/14/2017	970000	215005	AVILA	736925
159270116	100	TAMPA	53766	177638	4/18/2017	275000	212002	NORTHDALE	231404
159270142	100	TAMPA	45675	223507	3/16/2017	290000	212002	NORTHDALE	269182
159270180	100	TAMPA	46436	166472	8/29/2017	305000	212002	NORTHDALE	212908
159290020	100	TAMPA	37306	130054	10/6/2017	286900	212002	NORTHDALE	167360
159290078	100	TAMPA	37985	138180	8/11/2017	294100	212002	NORTHDALE	176165
159290094	100	TAMPA	37306	138529	6/13/2017	252400	212002	NORTHDALE	175835
159290234	100	TAMPA	47030	155310	10/30/2017	247000	212002	NORTHDALE	202340
159290438	100	TAMPA	39579	173190	8/30/2017	293500	212002	NORTHDALE	212769
159290504	100	TAMPA	40299	167535	6/28/2017	246000	212002	NORTHDALE	207834
159290516	100	TAMPA	37306	181743	5/30/2017	254900	212002	NORTHDALE	219049
159290602	100	TAMPA	39579	121330	8/30/2017	225000	212002	NORTHDALE	160909
159290610	100	TAMPA	39579	158256	11/28/2017	289000	212002	NORTHDALE	197835
159290644	100	TAMPA	36774	107516	11/15/2017	230000	212002	NORTHDALE	144290
159290666	100	TAMPA	44412	133808	8/8/2017	250000	212002	NORTHDALE	178220
159290724	100	TAMPA	39579	135674	9/28/2017	247000	212002	NORTHDALE	175253
159290750	100	TAMPA	41800	173821	2/28/2017	248000	212002	NORTHDALE	215621
159290832	100	TAMPA	50160	176889	3/31/2017	289500	212002	NORTHDALE	227049
159290838	100	TAMPA	48671	153213	12/6/2017	270000	212002	NORTHDALE	201884
159290858	100	TAMPA	61560	154008	7/31/2017	250000	212002	NORTHDALE	215568
159290882	100	TAMPA	49855	218739	2/27/2017	289900	212002	NORTHDALE	268594
159290908	100	TAMPA	44460	126216	8/31/2017	227000	212002	NORTHDALE	170676
159290926	100	TAMPA	46273	167500	4/21/2017	250000	212002	NORTHDALE	213773
159290944	100	TAMPA	42180	121649	2/10/2017	250000	212002	NORTHDALE	163829
159291010	100	TAMPA	52172	203965	3/17/2017	315000	212002	NORTHDALE	256137
159291032	100	TAMPA	32616	110638	7/18/2017	155000	212002	NORTHDALE	143254
159291140	100	TAMPA	39407	149093	3/29/2017	229000	212002	NORTHDALE	188500
159293314	100	TAMPA	41530	245845	8/18/2017	332000	212002	NORTHDALE	287375
159293318	100	TAMPA	41530	194504	10/5/2017	299900	212002	NORTHDALE	236034
159293320	100	TAMPA	43912	281723	1/26/2017	332000	212002	NORTHDALE	325635
159321020	100	TAMPA	42180	166525	8/4/2017	295000	212002	NORTHDALE	208705
159321046	100	TAMPA	53631	150097	4/27/2017	280000	212002	NORTHDALE	203728
159321096	100	TAMPA	66348	173917	1/16/2018	357500	212002	NORTHDALE	240265
159321108	100	TAMPA	58054	153648	9/1/2017	252000	212002	NORTHDALE	211702
159321126	100	TAMPA	50028	171176	6/29/2017	309000	212002	NORTHDALE	221204
159321136	100	TAMPA	50160	137713	6/30/2017	275000	212002	NORTHDALE	187873
159321170	100	TAMPA	89645	204998	10/27/2017	305000	212002	NORTHDALE	294643
159321244	100	TAMPA	47049	285252	4/21/2017	333000	212002	NORTHDALE	332301
159321270	100	TAMPA	64938	180769	3/21/2017	285000	212002	NORTHDALE	245707
159321272	100	TAMPA	64938	163790	3/23/2017	283000	212002	NORTHDALE	228728
159321282	100	TAMPA	68947	124875	1/31/2017	263000	212002	NORTHDALE	193822
159321288	100	TAMPA	66569	171158	6/20/2017	314000	212002	NORTHDALE	237727
159321390	100	TAMPA	50106	232615	7/14/2017	320000	212002	NORTHDALE	282721
159321396	100	TAMPA	42038	142389	7/28/2017	251700	212002	NORTHDALE	184427
159321420	100	TAMPA	67520	197232	11/17/2017	344000	212002	NORTHDALE	264752
159321440	100	TAMPA	52136	212879	2/28/2017	315000	212002	NORTHDALE	265015
159321550	100	TAMPA	59965	141732	10/18/2017	288000	212002	NORTHDALE	201697
159321556	100	TAMPA	68685	124493	11/10/2017	252000	212002	NORTHDALE	193178
159321566	100	TAMPA	43470	146029	6/7/2017	250000	212002	NORTHDALE	189499
159321596	100	TAMPA	36225	124932	12/29/2017	233000	212002	NORTHDALE	161157
159321662	100	TAMPA	43819	125278	2/23/2017	285000	212002	NORTHDALE	169097
159321732	100	TAMPA	44526	147330	9/7/2017	285000	212002	NORTHDALE	191856
159321798	100	TAMPA	91919	149905	12/13/2017	299900	212002	NORTHDALE	241824
159321872	100	TAMPA	58687	199884	2/6/2017	305000	212002	NORTHDALE	258571
159321886	100	TAMPA	60776	133019	7/31/2017	282000	212002	NORTHDALE	193795
159321902	100	TAMPA	47898	183338	6/12/2017	284000	212002	NORTHDALE	231236
159321954	100	TAMPA	47056	223647	1/27/2017	319900	212002	NORTHDALE	270703
