Taster	Group	PSI	PHI-F	PHI-L	OJ	CC	PP	GF	BC
174	gLMS	37	56	-28	44	68	19	-24	-43
175	gLMS	56	56	-48	71	68	-3	-33	-45
176	gLMS	55	52	-52	52	49	32	10	-41
177	gLMS	45	54	-40	22	56	10	-14	-28
178	gLMS	43	47	-47	58	46	26	-24	17
179	gLMS	48	57	-38	52	33	37	-38	-3
180	gLMS	41	51	-39	10	-14	57	8	-86
181	gLMS	88	56	-81	63	8	-22	-19	-6
182	gLMS	32	58	-20	9	28	6	12	7
183	gLMS	60	60	-48	62	3	26	-57	-21
184	gLMS	56	27	-87	97	19	37	-23	-36
185	gLMS	40	51	-39	61	32	34	-21	-52
186	gLMS	50	43	-60	0	10	46	-27	-27
187	gLMS	73	54	-69	37	14	2	-64	-67
188	gLMS	49	6	-100	28	63	-49	3	-8
189	gLMS	38	76	-2	31	72	15	-45	7
190	gLMS	53	60	-40	50	76	66	-63	-65
191	gLMS	43	45	-49	46	6	86	-18	-32
192	gLMS	51	60	-38	70	16	41	-55	-11
193	gLMS	45	53	-41	3	-16	59	-13	-50
194	gLMS	48	50	-48	21	39	12	-20	4
195	gLMS	37	49	-38	-2	44	65	-24	4
196	gLMS	37	20	-77	67	79	94	-20	-25
197	gLMS	69	62	-54	81	9	39	15	-44
198	gLMS	40	38	-56	70	49	-10	2	45
199	gLMS	44	31	-68	22	10	33	-21	-19
200	gLMS	48	59	-36	34	21	30	-38	2
201	Point9	3	7	4	8	3	5	5	3
202	Point9	4.2	8	2	9	7	7	3	2
203	Point9	4.2	9	1	8	6	9	1	3
204	Point9	4.3	8	3	6	8	8	2	3
205	Point9	4.3	8	2	7	9	9	4	5
206	Point9	4.5	9	1	9	8	8	1	1
207	Point9	4.5	8	1	5	8	6	1	2
208	Point9	4.5	9	3	9	9	7	4	4
209	Point9	4.6	9	1	7	9	6	2	3
210	Point9	4.8	8	1	7	8	7	3	4
211	Point9	4.9	9	1	7	5	6	5	5
212	Point9	5	9	1	6	7	5	5	3
213	Point9	5	9	1	8	9	6	6	3
214	Point9	5	9	2	9	6	8	4	5
215	Point9	5	8	1	6	8	9	5	3
216	Point9	5.1	9	3	8	9	8	2	3
217	Point9	5.1	9	1	6	8	7	5	5
218	Point9	5.2	8	2	6	9	7	3	4
219	Point9	5.2	8	2	7	5	8	3	2
220	Point9	5.2	8	1	6	6	7	7	2
221	Point9	5.3	8	1	5	6	7	5	2
222	Point9	5.3	9	6	7	8	6	1	4
223	Point9	5.4	9	2	8	6	9	4	4
224	Point9	5.6	9	1	6	6	6	3	5
225	Point9	5.7	9	3	5	8	5	7	5
226	Point9	5.7	9	1	9	8	6	2	6
227	Point9	5.8	9	2	7	5	6	1	4
228	Point9	5.8	8	1	5	7	6	2	3
229	Point9	5.8	9	1	4	9	6	4	4
230	Point9	5.9	9	1	9	8	3	4	2
231	Point9	5.9	9	1	8	5	9	1	3
232	Point9	5.9	9	2	6	6	6	7	2
233	Point9	5.9	9	1	8	8	6	3	5
234	Point9	5.9	9	1	5	8	9	2	6
235	Point9	6	8	3	5	8	6	1	4
236	Point9	6	9	4	9	9	5	5	3
237	Point9	6	9	2	7	8	8	3	5
238	Point9	6.1	9	1	5	6	7	5	3
239	Point9	6.2	8	1	7	7	7	5	2
240	Point9	6.2	8	3	5	8	6	3	3
241	Point9	6.2	9	1	4	8	7	2	3
242	Point9	6.3	8	3	6	6	8	3	3
243	Point9	6.3	8	1	7	7	7	5	1
244	Point9	6.3	8	4	7	9	5	4	1
245	Point9	6.3	8	1	6	7	6	5	3
246	Point9	6.3	9	1	8	7	7	5	3
247	Point9	6.3	9	2	5	6	6	2	1
248	Point9	6.4	9	2	8	6	7	1	5
249	Point9	6.4	9	1	8	8	7	2	4
250	Point9	6.4	9	2	7	8	7	3	1
251	Point9	6.5	9	1	6	5	8	1	3
252	Point9	6.5	9	3	5	8	7	3	1
253	Point9	6.5	9	1	7	8	4	3	2
254	Point9	6.6	9	1	8	8	2	3	5
255	Point9	6.6	9	1	8	7	7	3	4
256	Point9	6.7	9	8	7	9	5	1	5
257	Point9	6.7	8	2	7	7	4	5	4
258	Point9	6.7	8	1	9	9	5	1	1
259	Point9	6.7	9	2	7	7	8	6	6
260	Point9	6.7	8	1	8	7	7	3	1
261	Point9	6.8	9	3	8	9	7	3	2
262	Point9	6.8	8	2	5	8	7	4	2
263	Point9	6.8	8	1	7	6	6	4	6
264	Point9	6.8	8	2	6	8	5	1	2
265	Point9	6.8	8	2	7	7	6	1	4
266	Point9	6.8	9	1	8	8	4	1	1
267	Point9	6.8	9	1	9	9	8	6	4
268	Point9	6.8	8	1	5	9	7	6	5
269	Point9	6.9	9	2	9	9	7	3	5
270	Point9	6.9	9	1	3	8	6	2	4
271	Point9	6.9	9	2	8	7	7	5	2
272	Point9	6.9	9	2	8	9	8	4	2
273	Point9	7	8	2	9	9	6	5	3
274	Point9	7	9	1	5	6	4	1	2
275	Point9	7	8	3	8	7	8	4	3
276	Point9	7	8	5	4	7	7	5	1
277	Point9	7.1	8	1	6	9	5	3	2
278	Point9	7.1	8	1	6	7	7	5	1
279	Point9	7.1	8	3	8	7	8	5	4
280	Point9	7.1	9	4	8	6	7	4	5
281	Point9	7.1	8	1	3	8	9	2	2
282	Point9	7.2	9	1	7	8	7	4	1
283	Point9	7.2	9	2	7	6	7	3	3
284	Point9	7.2	7	2	8	6	5	3	3
285	Point9	7.2	9	1	7	8	7	4	2
286	Point9	7.2	9	1	7	8	6	2	4
287	Point9	7.2	9	1	8	7	7	4	4
288	Point9	7.2	9	1	9	8	6	3	4
289	Point9	7.2	8	1	8	9	6	3	1
290	Point9	7.2	9	1	6	6	8	4	3
291	Point9	7.3	9	2	7	7	7	3	3
292	Point9	7.3	9	2	4	8	5	5	1
293	Point9	7.3	8	1	4	6	9	4	2
294	Point9	7.3	9	2	6	6	8	3	2
295	Point9	7.4	9	1	8	8	8	2	1
296	Point9	7.4	8	3	5	8	7	4	4
297	Point9	7.4	9	2	9	7	6	3	5
298	Point9	7.5	9	2	8	6	8	1	2
299	Point9	7.5	9	6	9	9	8	2	2
300	Point9	7.5	9	1	7	8	7	5	2
301	Point9	7.5	8	1	7	7	9	4	3
302	Point9	7.5	9	2	5	9	8	3	3
303	Point9	7.6	9	2	7	7	7	1	2
304	Point9	7.6	9	4	9	8	7	4	3
305	Point9	7.6	9	2	7	7	7	5	1
306	Point9	7.6	9	1	8	8	7	5	1
307	Point9	7.7	9	1	9	6	7	1	3
308	Point9	7.7	9	1	6	7	7	1	3
309	Point9	7.7	9	1	7	4	5	4	4
310	Point9	7.7	9	1	4	9	4	3	2
311	Point9	7.7	9	1	6	7	7	5	2
312	Point9	7.7	9	3	9	7	6	3	4
313	Point9	7.7	8	1	4	8	6	6	2
314	Point9	7.8	9	1	9	7	5	5	4
315	Point9	7.8	8	1	7	7	5	3	2
316	Point9	7.8	9	1	7	8	7	3	1
317	Point9	7.8	9	2	8	8	6	3	3
318	Point9	7.9	8	1	6	9	3	3	5
319	Point9	7.9	8	2	9	7	8	3	4
320	Point9	7.9	9	1	6	8	7	4	5
321	Point9	7.9	9	2	9	9	6	5	3
322	Point9	8	8	2	7	5	7	1	3
323	Point9	8.1	8	3	6	6	6	2	3
324	Point9	8.1	8	1	6	7	7	1	1
325	Point9	8.1	9	1	6	7	6	2	1
326	Point9	8.1	9	2	7	5	7	4	3
327	Point9	8.2	9	1	8	6	7	2	4
328	Point9	8.2	9	1	4	8	4	6	2
329	Point9	8.2	8	2	8	6	5	7	3
330	Point9	8.3	8	1	7	8	9	4	1
331	Point9	8.3	9	1	5	9	7	2	1
332	Point9	8.3	9	3	8	8	7	4	3
333	Point9	8.3	9	1	9	8	7	4	2
334	Point9	8.3	9	2	6	9	7	2	2
335	Point9	8.4	9	3	8	7	7	2	3
336	Point9	8.4	8	2	6	9	8	5	5
337	Point9	8.4	9	1	8	6	8	3	4
338	Point9	8.4	9	2	7	9	7	5	5
339	Point9	8.5	9	3	5	9	9	5	5
340	Point9	8.5	9	1	7	7	5	5	5
341	Point9	8.5	8	1	4	7	7	5	1
342	Point9	8.5	8	1	7	9	5	4	3
343	Point9	8.5	9	1	6	7	6	3	3
344	Point9	8.5	9	3	6	8	7	4	2
345	Point9	8.6	8	1	6	6	8	1	2
346	Point9	8.6	9	1	8	8	4	3	6
347	Point9	8.6	9	1	6	7	6	5	7
348	Point9	8.6	9	1	5	9	3	1	1
349	Point9	8.6	9	2	7	8	6	3	2
350	Point9	8.6	8	1	9	7	6	4	5
351	Point9	8.7	8	1	6	8	6	3	5
352	Point9	8.7	9	1	9	7	5	1	1
353	Point9	8.7	9	1	7	8	8	3	3
354	Point9	8.7	9	2	6	7	5	2	2
355	Point9	8.7	9	2	9	9	8	5	4
356	Point9	8.7	9	2	5	4	7	4	2
357	Point9	8.8	8	1	7	7	6	1	4
358	Point9	8.8	9	2	6	6	6	5	5
359	Point9	8.9	8	2	5	7	7	4	4
360	Point9	8.9	8	1	8	6	4	4	3
361	Point9	8.9	9	1	6	9	7	5	4
362	Point9	8.9	8	2	7	8	9	4	4
363	Point9	8.9	8	1	7	7	7	4	4
364	Point9	9	9	2	6	9	7	4	4
365	Point9	9	7	1	8	5	8	3	7
366	Point9	9	9	1	6	8	8	3	2
367	Point9	9	9	2	5	8	5	4	3
368	Point9	9	8	2	7	7	8	4	4
369	Point9	9	9	1	5	8	5	5	1
370	Point9	9	9	2	8	8	4	3	3
371	Point9	9	9	1	8	8	6	3	3
372	Point9	9	8	1	4	9	7	3	3
373	Point9	9	9	2	8	8	8	3	3
374	Point9	9	9	1	6	8	9	2	3
375	Point9	9	9	1	9	9	9	4	4
376	Point9	9	8	1	3	7	7	2	2
377	Point9	9	8	2	7	8	7	3	2
378	Point9	9	9	3	8	6	4	3	3
379	Point9	9	8	2	5	5	8	4	5
380	Point9	9	9	1	9	7	8	1	3
381	Point9	9	9	5	5	7	5	6	4
382	Point9	9	9	2	3	5	7	3	2
383	Point9	9	9	2	9	9	9	3	2
384	Point9	9	8	3	6	5	4	4	5
385	Point9	9	9	2	8	9	6	5	2
386	Point9	9	8	2	6	7	7	5	3
387	Point9	9	8	1	8	9	7	2	6
388	Point9	9	9	2	5	5	8	3	4
389	Point9	9	8	2	5	9	7	4	5
390	Point9	9	9	2	7	6	7	4	1
391	Point9	9	9	2	7	8	8	1	3
392	Point9	9	9	1	7	6	5	2	3
393	Point9	9	9	1	8	9	9	5	3
394	Point9	9	9	1	8	5	6	3	2
395	Point9	9	9	2	8	5	9	2	3
396	Point9	9	8	2	7	8	6	5	3
397	Point9	9	9	3	8	8	7	3	1
398	Point9	9	8	4	6	8	8	2	4
399	Point9	9	8	2	3	7	6	1	2
400	Point9	9	8	1	6	9	7	3	1
