julian-date	depth	broadband-alb	visible-alb	pond-num	icetype
168	0.26	0.08	0.16	350	Landfast
168	0.22	0.09	0.18	351	Landfast
168	0.19	0.06	0.12	352	Landfast
168	0.28	0.03	0.05	353	Landfast
168	0.24	0.04	0.07	354	Landfast
168	0.38	0.03	0.06	355	Landfast
168	0.19	0.06	0.11	356	Landfast
168	0.16	0.19	0.36	357	Landfast
168	0.18	0.1	0.18	358	Landfast
168	0.25	0.04	0.07	359	Landfast
168	0.24	0.04	0.08	360	Landfast
168	0.29	0.17	0.32	361	Landfast
168	0.24	0.18	0.34	362	Landfast
168	0.3	0.16	0.31	363	Landfast
168	0.29	0.17	0.34	364	Landfast
168	0.32	0.17	0.31	365	Landfast
168	0.21	0.22	0.4	366	Landfast
168	0.35	0.14	0.28	367	Landfast
168	0.2	0.15	0.29	368	Landfast
168	0.2	0.08	0.15	369	Landfast
168	0.28	0.14	0.26	370	Landfast
168	0.13	0.23	0.41	371	Landfast
168	0.36	0.17	0.33	372	Landfast
168	0.43	0.2	0.39	373	Landfast
168	0.6	0.18	0.35	374	Landfast
168	0.32	0.15	0.28	375	Landfast
168	0.39	0.14	0.27	376	Landfast
168	0.6	0.16	0.3	377	Landfast
168	0.66	0.14	0.27	378	Landfast
168	0.62	0.16	0.29	379	Landfast
168	0.77	0.14	0.26	380	Landfast
168	0.5	0.16	0.3	381	Landfast
168	0.59	0.16	0.3	382	Landfast
168	0.61	0.16	0.3	383	Landfast
173	0.2	0.12	0.22	384	First-Year
173	0.12	0.13	0.25	385	First-Year
173	0.1	0.2	0.36	386	First-Year
173	0.11	0.11	0.19	387	First-Year
173	0.12	0.17	0.3	388	First-Year
173	0.27	0.09	0.15	389	First-Year
173	0.25	0.09	0.15	390	First-Year
173	0.24	0.1	0.17	391	First-Year
173	0.14	0.12	0.21	392	First-Year
173	0.14	0.11	0.21	393	First-Year
173	0.16	0.11	0.2	394	First-Year
173	0.21	0.14	0.27	395	First-Year
173	0.09	0.1	0.18	396	First-Year
173	0.06	0.11	0.21	397	First-Year
173	0.09	0.11	0.19	398	First-Year
173	0.13	0.11	0.2	399	First-Year
173	0.18	0.09	0.17	400	First-Year
173	0.19	0.22	0.41	401	First-Year
173	0.26	0.21	0.38	402	First-Year
173	0.12	0.33	0.5	403	First-Year
173	0.21	0.08	0.15	404	First-Year
173	0.28	0.09	0.16	405	First-Year
173	0.21	0.17	0.3	406	First-Year
173	0.19	0.14	0.26	407	First-Year
174	0.23	0.16	0.31	408	Multi-Year
174	0.3	0.17	0.32	409	Multi-Year
174	0.33	0.17	0.33	410	Multi-Year
174	0.3	0.17	0.33	411	Multi-Year
174	0.35	0.16	0.31	412	Multi-Year
174	0.32	0.17	0.34	413	Multi-Year
174	0.41	0.18	0.34	414	Multi-Year
174	0.29	0.19	0.36	415	Multi-Year
174	0.24	0.16	0.31	416	Multi-Year
174	0.25	0.17	0.33	417	Multi-Year
174	0.17	0.16	0.31	418	Multi-Year
174	0.16	0.19	0.36	419	Multi-Year
174	0.14	0.15	0.29	420	Multi-Year
174	0.25	0.15	0.28	421	Multi-Year
174	0.58	0.13	0.26	422	Multi-Year
174	0.56	0.12	0.23	423	Multi-Year
174	0.35	0.13	0.25	424	Multi-Year
174	0.4	0.16	0.31	425	Multi-Year
174	0.45	0.19	0.37	426	Multi-Year
174	0.45	0.18	0.36	427	Multi-Year
174	0.37	0.15	0.29	428	Multi-Year
174	0.48	0.15	0.29	429	Multi-Year
174	0.29	0.17	0.33	430	Multi-Year
174	0.34	0.15	0.29	431	Multi-Year
174	0.33	0.16	0.31	432	Multi-Year
174	0.39	0.16	0.31	433	Multi-Year
174	0.34	0.14	0.28	434	Multi-Year
174	0.36	0.17	0.33	435	Multi-Year
174	0.38	0.25	0.47	436	Multi-Year
174	0.26	0.18	0.36	437	Multi-Year
174	0.31	0.23	0.43	438	Multi-Year
174	0.24	0.17	0.32	439	Multi-Year
174	0.25	0.21	0.4	440	Multi-Year
174	0.23	0.22	0.43	441	Multi-Year
174	0.32	0.17	0.32	442	Multi-Year
174	0.37	0.13	0.23	443	Multi-Year
174	0.3	0.1	0.18	444	Multi-Year
174	0.36	0.11	0.2	445	Multi-Year
174	0.33	0.19	0.37	446	Multi-Year
174	0.32	0.16	0.3	447	Multi-Year
174	0.33	0.13	0.24	448	Multi-Year
174	0.27	0.19	0.36	449	Multi-Year
174	0.32	0.2	0.38	450	Multi-Year
174	0.25	0.21	0.39	451	Multi-Year
174	0.33	0.15	0.29	452	Multi-Year
174	0.28	0.18	0.34	453	Multi-Year
174	0.44	0.14	0.26	454	Multi-Year
174	0.43	0.19	0.35	455	Multi-Year
174	0.45	0.15	0.27	456	Multi-Year
174	0.4	0.17	0.31	457	Multi-Year
174	0.36	0.17	0.31	458	Multi-Year
174	0.3	0.16	0.3	459	Multi-Year
174	0.22	0.2	0.38	460	Multi-Year
177	0.11	0.09	0.17	461	First-Year
177	0.11	0.1	0.18	462	First-Year
177	0.06	0.08	0.16	463	First-Year
177	0.09	0.1	0.19	464	First-Year
177	0.15	0.08	0.16	465	First-Year
177	0.08	0.08	0.15	466	First-Year
177	0.13	0.18	0.32	467	First-Year
177	0.11	0.07	0.13	468	First-Year
177	0.23	0.07	0.13	469	First-Year
177	0.23	0.05	0.1	470	First-Year
177	0.07	0.12	0.21	471	First-Year
177	0.07	0.15	0.26	472	First-Year
177	0.05	0.1	0.17	473	First-Year
177	0.11	0.22	0.38	474	First-Year
177	0.1	0.26	0.44	475	First-Year
177	0.16	0.21	0.37	476	First-Year
177	0.24	0.06	0.12	477	First-Year
177	0.25	0.08	0.13	478	First-Year
177	0.2	0.16	0.3	479	First-Year
177	0.18	0.16	0.3	480	First-Year
177	0.36	0.05	0.08	481	First-Year
177	0.2	0.21	0.38	482	First-Year
177	0.34	0.2	0.35	483	First-Year
177	0.1	0.12	0.16	484	First-Year
177	0.1	0.12	0.16	485	First-Year
177	0.1	0.12	0.16	486	First-Year
177	0.1	0.12	0.16	487	First-Year
177	0.1	0.12	0.15	488	First-Year
177	0.12	0.13	0.16	489	First-Year
177	0.13	0.14	0.16	490	First-Year
177	0.16	0.2	0.26	491	First-Year
177	0.12	0.32	0.48	492	First-Year
177	0.16	0.26	0.37	493	First-Year
177	0.16	0.21	0.27	494	First-Year
177	0.25	0.08	0.1	495	First-Year
177	0.19	0.13	0.2	496	First-Year
177	0.23	0.14	0.24	497	First-Year
177	0.26	0.14	0.22	498	First-Year
177	0.13	0.25	0.4	499	First-Year
177	0.06	0.12	0.18	500	First-Year
177	0.04	0.12	0.18	501	First-Year
177	0.04	0.11	0.17	502	First-Year
177	0.05	0.11	0.16	503	First-Year
177	0.05	0.12	0.18	504	First-Year
