HWCOND	SCIENCE	MATH	LANGUAGE	INV-SCI	INV-MATH	INV-LANG
ATIPS	2	0	0	YES	NO	NO
ATIPS	1	1	0	NO	NO	NO
ATIPS	3	1	0	NO	NO	NO
TIPS	2	2	0	YES	YES	NO
TIPS	4	3	2	YES	NO	YES
TIPS	3	2	1	NO	YES	NO
TIPS	1	1	1	NO	NO	NO
TIPS	2	1	1	YES	NO	NO
TIPS	2	0	1	YES	NO	NO
TIPS	1	0	0	NO	NO	NO
TIPS	3	0	0	NO	NO	NO
TIPS	0	1	0	NO	NO	NO
TIPS	3	2	2	NO	YES	YES
TIPS	3	0	2	NO	NO	YES
TIPS	2	2	1	YES	YES	NO
TIPS	2	3	1	YES	NO	NO
TIPS	4	4	4	YES	YES	YES
TIPS	2	3	3	YES	NO	NO
TIPS	1	1	1	NO	NO	NO
TIPS	2	0	1	YES	NO	NO
TIPS	3	1	1	NO	NO	NO
TIPS	0	0	0	NO	NO	NO
TIPS	3	4	3	NO	YES	NO
ATIPS	1	2	0	NO	YES	NO
ATIPS	1	0	0	NO	NO	NO
ATIPS	3	1	1	NO	NO	NO
ATIPS	2	4	3	YES	YES	NO
ATIPS	1	2	0	NO	YES	NO
ATIPS	3	1	2	NO	NO	YES
ATIPS	1	1	1	NO	NO	NO
ATIPS	1	1	1	NO	NO	NO
ATIPS	3	1	2	NO	NO	YES
ATIPS	0	2	0	NO	YES	NO
ATIPS	3	3	2	NO	NO	YES
ATIPS	1	2	0	NO	YES	NO
ATIPS	0	2	2	NO	YES	YES
ATIPS	1	1	1	NO	NO	NO
ATIPS	1	0	1	NO	NO	NO
ATIPS	4	2	2	YES	YES	YES
ATIPS	1	1	0	NO	NO	NO
ATIPS	2	1	0	YES	NO	NO
ATIPS	0	1	1	NO	NO	NO
ATIPS	1	1	0	NO	NO	NO
ATIPS	2	2	0	YES	YES	NO
ATIPS	2	1	3	YES	NO	NO
TIPS	3	1	1	NO	NO	NO
TIPS	3	2	1	NO	YES	NO
TIPS	3	1	1	NO	NO	NO
TIPS	1	0	1	NO	NO	NO
TIPS	0	3	1	NO	NO	NO
TIPS	2	2	1	YES	YES	NO
TIPS	4	2	1	YES	YES	NO
TIPS	3	1	1	NO	NO	NO
TIPS	4	0	0	YES	NO	NO
TIPS	4	2	0	YES	YES	NO
TIPS	4	0	0	YES	NO	NO
TIPS	4	0	0	YES	NO	NO
TIPS	4	1	1	YES	NO	NO
TIPS	4	2	1	YES	YES	NO
TIPS	2	1	2	YES	NO	YES
TIPS	4	2	0	YES	YES	NO
TIPS	3	0	1	NO	NO	NO
TIPS	4	1	0	YES	NO	NO
TIPS	2	2	1	YES	YES	NO
TIPS	3	1	0	NO	NO	NO
TIPS	4	1	1	YES	NO	NO
TIPS	4	0	0	YES	NO	NO
TIPS	4	2	0	YES	YES	NO
ATIPS	1	0	1	NO	NO	NO
ATIPS	1	3	2	NO	NO	YES
ATIPS	3	3	3	NO	NO	NO
ATIPS	4	4	4	YES	YES	YES
ATIPS	1	2	2	NO	YES	YES
ATIPS	2	4	3	YES	YES	NO
ATIPS	1	0	0	NO	NO	NO
ATIPS	3	4	3	NO	YES	NO
ATIPS	2	2	1	YES	YES	NO
ATIPS	3	1	2	NO	NO	YES
ATIPS	2	0	1	YES	NO	NO
ATIPS	0	0	2	NO	NO	YES
ATIPS	4	0	1	YES	NO	NO
ATIPS	3	3	3	NO	NO	NO
ATIPS	2	2	2	YES	YES	YES
ATIPS	1	0	0	NO	NO	NO
ATIPS	2	2	1	YES	YES	NO
ATIPS	3	2	1	NO	YES	NO
ATIPS	2	2	1	YES	YES	NO
ATIPS	2	3	2	YES	NO	YES
ATIPS	0	1	2	NO	NO	YES
ATIPS	2	0	1	YES	NO	NO
ATIPS	1	1	1	NO	NO	NO
ATIPS	1	0	0	NO	NO	NO
TIPS	3	4	4	NO	YES	YES
TIPS	2	1	2	YES	NO	YES
TIPS	3	4	4	NO	YES	YES
TIPS	1	1	1	NO	NO	NO
TIPS	3	3	3	NO	NO	NO
TIPS	4	0	0	YES	NO	NO
TIPS	0	2	1	NO	YES	NO
TIPS	0	1	0	NO	NO	NO
TIPS	4	2	1	YES	YES	NO
TIPS	2	2	1	YES	YES	NO
TIPS	3	1	0	NO	NO	NO
TIPS	3	1	2	NO	NO	YES
TIPS	2	0	1	YES	NO	NO
TIPS	3	1	1	NO	NO	NO
TIPS	4	0	0	YES	NO	NO
TIPS	4	3	1	YES	NO	NO
TIPS	3	1	2	NO	NO	YES
TIPS	2	3	1	YES	NO	NO
TIPS	0	2	0	NO	YES	NO
TIPS	2	2	1	YES	YES	NO
TIPS	1	2	0	NO	YES	NO
TIPS	4	1	2	YES	NO	YES
TIPS	4	1	2	YES	NO	YES
TIPS	4	0	1	YES	NO	NO
TIPS	3	0	0	NO	NO	NO
TIPS	3	1	3	NO	NO	NO
TIPS	2	2	2	YES	YES	YES
TIPS	4	2	1	YES	YES	NO
TIPS	1	0	1	NO	NO	NO
TIPS	1	3	3	NO	NO	NO
TIPS	4	4	0	YES	YES	NO
TIPS	0	2	1	NO	YES	NO
TIPS	4	4	2	YES	YES	YES
TIPS	0	0	0	NO	NO	NO
TIPS	4	4	2	YES	YES	YES
TIPS	4	2	3	YES	YES	NO
TIPS	4	4	3	YES	YES	NO
TIPS	2	2	0	YES	YES	NO
TIPS	2	4	2	YES	YES	YES
TIPS	0	0	0	NO	NO	NO
TIPS	3	2	2	NO	YES	YES
TIPS	2	2	2	YES	YES	YES
TIPS	2	2	1	YES	YES	NO
TIPS	3	4	4	NO	YES	YES
TIPS	3	4	4	NO	YES	YES
TIPS	1	0	0	NO	NO	NO
TIPS	4	1	4	YES	NO	YES
TIPS	1	4	3	NO	YES	NO
TIPS	3	2	2	NO	YES	YES
TIPS	2	1	2	YES	NO	YES
TIPS	2	4	3	YES	YES	NO
TIPS	4	0	3	YES	NO	NO
TIPS	2	3	2	YES	NO	YES
TIPS	1	4	2	NO	YES	YES
TIPS	2	4	2	YES	YES	YES
TIPS	4	0	3	YES	NO	NO
TIPS	2	0	1	YES	NO	NO
