Cruise Ship	Cruise Line	Score 
Grandeur of the Seas	Royal Caribbean International	100
Hanseatic	Hapag Lloyd Kreuzfahrten Gmbh	87
Harmony of the Seas	Royal Caribbean International	94
Independence of the Seas	Royal Caribbean International	90
Island Princess	Princess Cruises	100
Jewel of the Seas	Royal Caribbean International	95
Koningsdam	Holland America Line	97
Kydon	Ferries Del Caribe	61
L'Austral	Compagnie Du Ponant SA	92
Le Boreal	Compagnie Du Ponant SA	84
Le Soleal	Compagnie Du Ponant SA	93
Liberty of the Seas	Royal Caribbean International	96
Maasdam	Holland America Line	96
Majesty of the Seas	Royal Caribbean International	97
Mariner of the Seas	Royal Caribbean International	98
Mein Schiff 6	TUI Cruises GmbH	99
MS Fram	Hurtigruten ASA	92
MS Hamburg	Hamburg Cruise SA	90
MSC Divina	MSC Cruises (Mediterranean Shipping Company)	93
MSC Lirica	MSC Cruises (Mediterranean Shipping Company)	100
MSC Orchestra	MSC Cruises (Mediterranean Shipping Company)	96
MSC Poesia	MSC Cruises (Mediterranean Shipping Company)	87
National Geographic Explorer	Lindblad Expeditions	92
National Geographic Quest	Lindblad Expeditions	94
National Geographic Sea Bird	Lindblad Expeditions	94
National Geographic Sea Lion	Lindblad Expeditions	94
Navigator of the Seas	Royal Caribbean International	100
Nieuw Amsterdam	Holland America Line	96
Noordam	Holland America Line	91
Norwegian Breakaway	Norwegian Cruise Lines	89
Norwegian Dawn	Norwegian Cruise Lines	93
Norwegian Epic	Norwegian Cruise Lines	100
Norwegian Escape	Norwegian Cruise Lines	91
Norwegian Gem	Norwegian Cruise Lines	100
Norwegian Getaway	Norwegian Cruise Lines	95
Norwegian Jade	Norwegian Cruise Lines	97
Norwegian Jewel	Norwegian Cruise Lines	100
Norwegian Pearl	Norwegian Cruise Lines	99
Norwegian Sky	Norwegian Cruise Lines	100
Norwegian Spirit	Norwegian Cruise Lines	100
Norwegian Star	Norwegian Cruise Lines	94
Norwegian Sun	Norwegian Cruise Lines	90
Oasis of the Seas	Royal Caribbean International	97
Ocean Dream	Japan Grace	82
Oceana	P&O Cruises	92
Oceania Insignia	Oceania Cruises	97
Oceania Marina	Oceania Cruises	100
Oceania Regatta	Oceania Cruises	99
Oceania Riviera	Oceania Cruises	99
Oceania Sirena	Oceania Cruises	95
Oosterdam	Holland America Line	94
Oriana	P&O Cruises	90
Pacific Princess	Princess Cruises	95
Pearl Mist	V. Ships Leisure U.S.A.	87
Prinsendam	Holland America Line	94
Quantum of the Seas	Royal Caribbean International	94
Queen Elizabeth	Cunard Line	92
Queen Mary 2	Cunard Line	95
Queen Victoria	Cunard Line	95
Radiance of the Seas	Royal Caribbean International	100
Regal Princess	Princess Cruises	96
Rhapsody of the Seas	Royal Caribbean International	97
Rotterdam	Holland America Line	99
Royal Princess	Princess Cruises	93
Ruby Princess	Princess Cruises	100
Safari Endeavour	Un-Cruise Adventures	94
Safari Quest	Un-Cruise Adventures	88
Sapphire Princess	Princess Cruises	96
Sea Princess	Princess Cruises	97
Seabourn Odyssey	Seabourn Cruise Line	96
Seabourn Pride	Seabourn Cruise Line	96
Seabourn Quest	Seabourn Cruise Line	100
Seabourn Sojourn	Seabourn Cruise Line	93
Seabourn Spirit	Seabourn Cruise Line	93
Seadream I	Sea Dream Yacht Club	100
Seadream II	Sea Dream Yacht Club	97
Serenade of the Seas	Royal Caribbean International	98
Seven Seas Explorer	Regent Seven Seas	100
Seven Seas Mariner 	Regent Seven Seas	94
Seven Seas Navigator 	Regent Seven Seas	97
Seven Seas Voyager	Regent Seven Seas	91
Silver Cloud	Silversea Cruises Ltd	99
Silver Discoverer	Silversea Cruises Ltd	88
Silver Shadow	Silversea Cruises Ltd	95
Silver Spirit	Silversea Cruises Ltd	99
Silver Whisper	Silversea Cruises Ltd	96
Silver Wind	Silversea Cruises Ltd	89
Stad Amsterdam	Rederij Clipper Stad Amsterdam	88
Star Legend	Wind Star Sail Cruises	91
Star Princess	Princess Cruises	95
Sun Princess	Princess Cruises	96
The World	ResidenSea	92
Veendam	Holland America Line	99
Ventura	P&O Cruises	99
Victory I	"Victory I Partners, Ltd., c/o Cruise Mgmt Intl Inc"	78
Viking Sky	Viking Ocean Cruises	95
Viking Star	Viking Ocean Cruises	94
Vision of the Seas	Royal Caribbean International	97
Volendam	Holland America Line	97
Voyager of the Seas	Royal Caribbean International	96
Vspbeta	VSP Office Cruise Line	100
Westerdam	Holland America Line	92
World Odyssey	V. Ships Leisure U.S.A.	95
Zaandam	Holland America Line	95
Zuiderdam	Holland America Line	98
