FOLIO	LAND	IMP	SALES	NBHD	TOTVAL	NBHD_CHEV	NBHD_DAV	NBHD_HUN	LAN_CHEV	LAN_DAV	LAN_HUN	IMP_CHEV	IMP_DAV	IMP_HUN	LAN_IMP	L_I_CHEV	L_I_DAV	L_I_HUN	LNSALES
73010000	30.206	107.548	155	TOWN&CTY	137.754	0	0	0	0	0	0	0	0	0	3248.594888	0	0	0	5.043425117
73980000	28.681	127.101	185	TOWN&CTY	155.782	0	0	0	0	0	0	0	0	0	3645.383781	0	0	0	5.220355825
74150000	43.863	89.53	179	TOWN&CTY	133.393	0	0	0	0	0	0	0	0	0	3927.05439	0	0	0	5.187385806
74410000	31.559	107.316	175	TOWN&CTY	138.875	0	0	0	0	0	0	0	0	0	3386.785644	0	0	0	5.164785974
74480000	30.952	135.86	230	TOWN&CTY	166.812	0	0	0	0	0	0	0	0	0	4205.13872	0	0	0	5.438079309
74800000	37.699	182.626	240	TOWN&CTY	220.325	0	0	0	0	0	0	0	0	0	6884.817574	0	0	0	5.480638923
74860000	34.134	138.168	191.5	TOWN&CTY	172.302	0	0	0	0	0	0	0	0	0	4716.226512	0	0	0	5.254887809
74930000	33.035	95.782	235	TOWN&CTY	128.817	0	0	0	0	0	0	0	0	0	3164.15837	0	0	0	5.459585514
75440000	34.272	109.495	224.9	TOWN&CTY	143.767	0	0	0	0	0	0	0	0	0	3752.61264	0	0	0	5.415655859
75510000	39.34	123.447	220	TOWN&CTY	162.787	0	0	0	0	0	0	0	0	0	4856.40498	0	0	0	5.393627546
75710000	35.003	109.141	150	TOWN&CTY	144.144	0	0	0	0	0	0	0	0	0	3820.262423	0	0	0	5.010635294
75850000	35.003	74.358	85	TOWN&CTY	109.361	0	0	0	0	0	0	0	0	0	2602.753074	0	0	0	4.442651256
76000000	35.496	138.216	203	TOWN&CTY	173.712	0	0	0	0	0	0	0	0	0	4906.115136	0	0	0	5.313205979
76050000	42.033	81.114	244.9	TOWN&CTY	123.147	0	0	0	0	0	0	0	0	0	3409.464762	0	0	0	5.500849964
76400000	40.266	122.75	230	TOWN&CTY	163.016	0	0	0	0	0	0	0	0	0	4942.6515	0	0	0	5.438079309
76500000	37.741	139.558	240	TOWN&CTY	177.299	0	0	0	0	0	0	0	0	0	5267.058478	0	0	0	5.480638923
76710000	40.317	160.771	249	TOWN&CTY	201.088	0	0	0	0	0	0	0	0	0	6481.804407	0	0	0	5.517452896
77210000	36.04	89.607	200	TOWN&CTY	125.647	0	0	0	0	0	0	0	0	0	3229.43628	0	0	0	5.298317367
77470000	38.709	112.748	239	TOWN&CTY	151.457	0	0	0	0	0	0	0	0	0	4364.362332	0	0	0	5.476463552
77530000	38.877	104.066	210	TOWN&CTY	142.943	0	0	0	0	0	0	0	0	0	4045.773882	0	0	0	5.347107531
77560000	40.644	123.162	215	TOWN&CTY	163.806	0	0	0	0	0	0	0	0	0	5005.796328	0	0	0	5.370638028
77640000	33.567	87.762	131	TOWN&CTY	121.329	0	0	0	0	0	0	0	0	0	2945.907054	0	0	0	4.875197323
77930000	35.19	136.368	230	TOWN&CTY	171.558	0	0	0	0	0	0	0	0	0	4798.78992	0	0	0	5.438079309
77950000	33.567	102.199	165	TOWN&CTY	135.766	0	0	0	0	0	0	0	0	0	3430.513833	0	0	0	5.105945474
78020000	35.19	88.137	180	TOWN&CTY	123.327	0	0	0	0	0	0	0	0	0	3101.54103	0	0	0	5.192956851
78150000	39.382	171.478	200	TOWN&CTY	210.86	0	0	0	0	0	0	0	0	0	6753.146596	0	0	0	5.298317367
78180000	47.858	111.806	150	TOWN&CTY	159.664	0	0	0	0	0	0	0	0	0	5350.811548	0	0	0	5.010635294
78300000	40.644	134.57	202	TOWN&CTY	175.214	0	0	0	0	0	0	0	0	0	5469.46308	0	0	0	5.308267697
78630000	42.171	125.947	198	TOWN&CTY	168.118	0	0	0	0	0	0	0	0	0	5311.310937	0	0	0	5.288267031
78800000	39.971	111.744	175	TOWN&CTY	151.715	0	0	0	0	0	0	0	0	0	4466.519424	0	0	0	5.164785974
78970000	49.085	143.366	225	TOWN&CTY	192.451	0	0	0	0	0	0	0	0	0	7037.12011	0	0	0	5.416100402
79010000	53.194	117.886	175	TOWN&CTY	171.08	0	0	0	0	0	0	0	0	0	6270.827884	0	0	0	5.164785974
79100000	45.08	117.078	189	TOWN&CTY	162.158	0	0	0	0	0	0	0	0	0	5277.87624	0	0	0	5.241747015
79260000	39.34	114.779	200	TOWN&CTY	154.119	0	0	0	0	0	0	0	0	0	4515.40586	0	0	0	5.298317367
79470000	42.9	156.82	126.4	TOWN&CTY	199.72	0	0	0	0	0	0	0	0	0	6727.578	0	0	0	4.839451482
79760000	40.484	132.03	200	TOWN&CTY	172.514	0	0	0	0	0	0	0	0	0	5345.10252	0	0	0	5.298317367
79950000	40.484	118.24	200	TOWN&CTY	158.724	0	0	0	0	0	0	0	0	0	4786.82816	0	0	0	5.298317367
79980000	44.523	119.105	189.9	TOWN&CTY	163.628	0	0	0	0	0	0	0	0	0	5302.911915	0	0	0	5.246497618
80040000	35.062	106.074	169.9	TOWN&CTY	141.136	0	0	0	0	0	0	0	0	0	3719.166588	0	0	0	5.135210029
80090000	39.803	126.437	231	TOWN&CTY	166.24	0	0	0	0	0	0	0	0	0	5032.571911	0	0	0	5.442417711
80490000	50.674	129.781	234	TOWN&CTY	180.455	0	0	0	0	0	0	0	0	0	6576.522394	0	0	0	5.455321115
80580000	37.489	117.305	184	TOWN&CTY	154.794	0	0	0	0	0	0	0	0	0	4397.647145	0	0	0	5.214935758
80605031	35.7	122.949	206	TOWN&CTY	158.649	0	0	0	0	0	0	0	0	0	4389.2793	0	0	0	5.327876169
88210000	33.052	103.055	225	TOWN&CTY	136.107	0	0	0	0	0	0	0	0	0	3406.17386	0	0	0	5.416100402
88220000	37.4	165.062	235	TOWN&CTY	202.462	0	0	0	0	0	0	0	0	0	6173.3188	0	0	0	5.459585514
88670000	41.192	191.064	250	TOWN&CTY	232.256	0	0	0	0	0	0	0	0	0	7870.308288	0	0	0	5.521460918
89120000	36.04	84.419	215	TOWN&CTY	120.459	0	0	0	0	0	0	0	0	0	3042.46076	0	0	0	5.370638028
89280000	35.679	115.589	184.5	TOWN&CTY	151.268	0	0	0	0	0	0	0	0	0	4124.099931	0	0	0	5.217649463
91450000	29.733	81.896	185	TOWN&CTY	111.629	0	0	0	0	0	0	0	0	0	2435.013768	0	0	0	5.220355825
92490416	30.546	95.385	189.9	TOWN&CTY	125.931	0	0	0	0	0	0	0	0	0	2913.63021	0	0	0	5.246497618
92490426	35.212	82.699	145	TOWN&CTY	117.911	0	0	0	0	0	0	0	0	0	2911.997188	0	0	0	4.976733742
92490434	36.55	152.357	54.2	TOWN&CTY	188.907	0	0	0	0	0	0	0	0	0	5568.64835	0	0	0	3.992680908
92490456	30.546	87.594	160	TOWN&CTY	118.14	0	0	0	0	0	0	0	0	0	2675.646324	0	0	0	5.075173815
92490680	38.651	77.765	130	TOWN&CTY	116.416	0	0	0	0	0	0	0	0	0	3005.695015	0	0	0	4.86753445
92490682	42.432	127.348	215	TOWN&CTY	169.78	0	0	0	0	0	0	0	0	0	5403.630336	0	0	0	5.370638028
92490802	30.388	79.171	157	TOWN&CTY	109.559	0	0	0	0	0	0	0	0	0	2405.848348	0	0	0	5.056245805
92490900	30.388	123.156	205	TOWN&CTY	153.544	0	0	0	0	0	0	0	0	0	3742.464528	0	0	0	5.323009979
92490912	31.472	76.619	140	TOWN&CTY	108.091	0	0	0	0	0	0	0	0	0	2411.353168	0	0	0	4.941642423
92600000	27.944	75.891	120	TOWN&CTY	103.835	0	0	0	0	0	0	0	0	0	2120.698104	0	0	0	4.787491743
92650000	27.944	80.496	165	TOWN&CTY	108.44	0	0	0	0	0	0	0	0	0	2249.380224	0	0	0	5.105945474
92810000	27.043	65.31	100	TOWN&CTY	92.353	0	0	0	0	0	0	0	0	0	1766.17833	0	0	0	4.605170186
92920000	27.043	117.212	198	TOWN&CTY	144.255	0	0	0	0	0	0	0	0	0	3169.764116	0	0	0	5.288267031
93000000	27.043	75.318	175	TOWN&CTY	102.361	0	0	0	0	0	0	0	0	0	2036.824674	0	0	0	5.164785974
93130000	27.043	73.995	154.9	TOWN&CTY	101.038	0	0	0	0	0	0	0	0	0	2001.046785	0	0	0	5.042779747
93180000	32.398	82.719	191	TOWN&CTY	115.117	0	0	0	0	0	0	0	0	0	2679.930162	0	0	0	5.252273428
93340000	26.01	48.813	130	TOWN&CTY	74.823	0	0	0	0	0	0	0	0	0	1269.62613	0	0	0	4.86753445
93380000	26.01	71.999	135	TOWN&CTY	98.009	0	0	0	0	0	0	0	0	0	1872.69399	0	0	0	4.905274778
93860000	26.01	87.033	157	TOWN&CTY	113.043	0	0	0	0	0	0	0	0	0	2263.72833	0	0	0	5.056245805
93890000	26.01	70.426	150	TOWN&CTY	96.436	0	0	0	0	0	0	0	0	0	1831.78026	0	0	0	5.010635294
94160000	26.01	103.12	110	TOWN&CTY	129.13	0	0	0	0	0	0	0	0	0	2682.1512	0	0	0	4.700480366
94190000	36.433	97.739	220	TOWN&CTY	134.172	0	0	0	0	0	0	0	0	0	3560.924987	0	0	0	5.393627546
94280000	27.815	82.655	160	TOWN&CTY	110.47	0	0	0	0	0	0	0	0	0	2299.048825	0	0	0	5.075173815
94300000	28.073	96.532	144.5	TOWN&CTY	124.605	0	0	0	0	0	0	0	0	0	2709.942836	0	0	0	4.973279508
94450000	27.944	64.504	156	TOWN&CTY	92.448	0	0	0	0	0	0	0	0	0	1802.499776	0	0	0	5.049856007
95450000	26.179	66.304	108	TOWN&CTY	92.483	0	0	0	0	0	0	0	0	0	1735.772416	0	0	0	4.682131227
95710000	29.452	95.344	185	TOWN&CTY	124.796	0	0	0	0	0	0	0	0	0	2808.071488	0	0	0	5.220355825
95920000	27.622	79.459	120	TOWN&CTY	107.081	0	0	0	0	0	0	0	0	0	2194.816498	0	0	0	4.787491743
95960000	27.622	96.201	165	TOWN&CTY	123.823	0	0	0	0	0	0	0	0	0	2657.264022	0	0	0	5.105945474
96440000	29.325	100.186	100	TOWN&CTY	129.511	0	0	0	0	0	0	0	0	0	2937.95445	0	0	0	4.605170186
96960000	26.01	82.558	180.9	TOWN&CTY	108.568	0	0	0	0	0	0	0	0	0	2147.33358	0	0	0	5.197944392
97010000	26.184	102.026	167	TOWN&CTY	128.21	0	0	0	0	0	0	0	0	0	2671.448784	0	0	0	5.117993812
97260000	29.892	79.967	162.3	TOWN&CTY	109.859	0	0	0	0	0	0	0	0	0	2390.373564	0	0	0	5.089446475
97620000	33.736	83.952	148	TOWN&CTY	117.688	0	0	0	0	0	0	0	0	0	2832.204672	0	0	0	4.997212274
97900000	30.657	95.852	160	TOWN&CTY	126.509	0	0	0	0	0	0	0	0	0	2938.534764	0	0	0	5.075173815
98220000	32.545	96.548	154	TOWN&CTY	129.093	0	0	0	0	0	0	0	0	0	3142.15466	0	0	0	5.036952602
98270000	38.587	93.351	170	TOWN&CTY	131.938	0	0	0	0	0	0	0	0	0	3602.135037	0	0	0	5.135798437
99270000	30.281	153.36	185	TOWN&CTY	183.641	0	0	0	0	0	0	0	0	0	4643.89416	0	0	0	5.220355825
99503012	31.977	147.874	150	TOWN&CTY	179.851	0	0	0	0	0	0	0	0	0	4728.566898	0	0	0	5.010635294
99550000	30.345	76.566	170	TOWN&CTY	106.911	0	0	0	0	0	0	0	0	0	2323.39527	0	0	0	5.135798437
99620000	30.345	84.141	143	TOWN&CTY	114.486	0	0	0	0	0	0	0	0	0	2553.258645	0	0	0	4.96284463
99690000	30.345	96.849	179	TOWN&CTY	127.194	0	0	0	0	0	0	0	0	0	2938.882905	0	0	0	5.187385806
99810000	47.724	110.416	280	TOWN&CTY	158.14	0	0	0	0	0	0	0	0	0	5269.493184	0	0	0	5.634789603
99900000	30.345	82.582	140	TOWN&CTY	112.927	0	0	0	0	0	0	0	0	0	2505.95079	0	0	0	4.941642423
100210000	69.854	119.039	242.2	TOWN&CTY	188.893	0	0	0	0	0	0	0	0	0	8315.350306	0	0	0	5.489763831
100240000	29.325	68.485	127.9	TOWN&CTY	97.81	0	0	0	0	0	0	0	0	0	2008.322625	0	0	0	4.851248709
100480000	26.01	75.693	138	TOWN&CTY	101.703	0	0	0	0	0	0	0	0	0	1968.77493	0	0	0	4.927253685
100650000	26.01	79.034	145	TOWN&CTY	105.044	0	0	0	0	0	0	0	0	0	2055.67434	0	0	0	4.976733742
100740000	26.01	84.642	155	TOWN&CTY	110.652	0	0	0	0	0	0	0	0	0	2201.53842	0	0	0	5.043425117
100770000	26.01	104.736	170	TOWN&CTY	130.746	0	0	0	0	0	0	0	0	0	2724.18336	0	0	0	5.135798437
100920000	26.01	111.689	167	TOWN&CTY	137.699	0	0	0	0	0	0	0	0	0	2905.03089	0	0	0	5.117993812
101060000	27.901	87.528	165	TOWN&CTY	115.429	0	0	0	0	0	0	0	0	0	2442.118728	0	0	0	5.105945474
101350000	34.986	146.984	230	TOWN&CTY	181.97	0	0	0	0	0	0	0	0	0	5142.382224	0	0	0	5.438079309
101380000	78.951	164.243	314	TOWN&CTY	243.194	0	0	0	0	0	0	0	0	0	12967.14909	0	0	0	5.749392986
101400000	38.16	353.603	399.9	TOWN&CTY	391.763	0	0	0	0	0	0	0	0	0	13493.49048	0	0	0	5.991214516
101520000	68.815	110.658	175.3	TOWN&CTY	179.473	0	0	0	0	0	0	0	0	0	7614.93027	0	0	0	5.166498792
101660000	68.85	105.629	203	TOWN&CTY	174.479	0	0	0	0	0	0	0	0	0	7272.55665	0	0	0	5.313205979
101925328	38.842	318.479	420	TOWN&CTY	357.321	0	0	0	0	0	0	0	0	0	12370.36132	0	0	0	6.040254711
113870000	26.614	80.687	147	TOWN&CTY	107.301	0	0	0	0	0	0	0	0	0	2147.403818	0	0	0	4.990432587
114050000	27.043	75.577	175	TOWN&CTY	102.62	0	0	0	0	0	0	0	0	0	2043.828811	0	0	0	5.164785974
114080000	27.043	61.686	185	TOWN&CTY	88.729	0	0	0	0	0	0	0	0	0	1668.174498	0	0	0	5.220355825
114140000	27.043	97.684	204	TOWN&CTY	124.727	0	0	0	0	0	0	0	0	0	2641.668412	0	0	0	5.318119994
114220000	38.842	112.302	172	TOWN&CTY	151.144	0	0	0	0	0	0	0	0	0	4362.034284	0	0	0	5.147494477
114710000	32.604	88.288	125	TOWN&CTY	120.892	0	0	0	0	0	0	0	0	0	2878.541952	0	0	0	4.828313737
114760000	27.043	55.97	110	TOWN&CTY	83.013	0	0	0	0	0	0	0	0	0	1513.59671	0	0	0	4.700480366
115340000	26.614	78.016	154	TOWN&CTY	104.63	0	0	0	0	0	0	0	0	0	2076.317824	0	0	0	5.036952602
115520000	26.614	101.347	155.5	TOWN&CTY	127.961	0	0	0	0	0	0	0	0	0	2697.249058	0	0	0	5.046645732
115640000	29.325	72.836	116	TOWN&CTY	102.161	0	0	0	0	0	0	0	0	0	2135.9157	0	0	0	4.753590191
115750000	27.472	106.23	173	TOWN&CTY	133.702	0	0	0	0	0	0	0	0	0	2918.35056	0	0	0	5.153291594
115760000	26.614	89.092	153	TOWN&CTY	115.706	0	0	0	0	0	0	0	0	0	2371.094488	0	0	0	5.030437921
116090000	27.472	122.567	189	TOWN&CTY	150.039	0	0	0	0	0	0	0	0	0	3367.160624	0	0	0	5.241747015
116220000	26.614	87.724	182	TOWN&CTY	114.338	0	0	0	0	0	0	0	0	0	2334.686536	0	0	0	5.204006687
116350000	27.472	100.116	90	TOWN&CTY	127.588	0	0	0	0	0	0	0	0	0	2750.386752	0	0	0	4.49980967
116640000	26.614	65.181	160	TOWN&CTY	91.795	0	0	0	0	0	0	0	0	0	1734.727134	0	0	0	5.075173815
116650000	27.472	61.609	140	TOWN&CTY	89.081	0	0	0	0	0	0	0	0	0	1692.522448	0	0	0	4.941642423
117210000	27.043	84.032	130	TOWN&CTY	111.075	0	0	0	0	0	0	0	0	0	2272.477376	0	0	0	4.86753445
117410000	28.021	122.161	170	TOWN&CTY	150.182	0	0	0	0	0	0	0	0	0	3423.073381	0	0	0	5.135798437
117520000	28.475	107.093	175	TOWN&CTY	135.568	0	0	0	0	0	0	0	0	0	3049.473175	0	0	0	5.164785974
117710000	28.475	75.179	204.9	TOWN&CTY	103.654	0	0	0	0	0	0	0	0	0	2140.722025	0	0	0	5.322522055
118120000	28.475	93.089	147	TOWN&CTY	121.564	0	0	0	0	0	0	0	0	0	2650.709275	0	0	0	4.990432587
118130000	28.475	107.212	182.5	TOWN&CTY	135.687	0	0	0	0	0	0	0	0	0	3052.8617	0	0	0	5.206750173
118360000	27.043	114.472	185	TOWN&CTY	141.515	0	0	0	0	0	0	0	0	0	3095.666296	0	0	0	5.220355825
118760000	26.01	64.81	125	TOWN&CTY	90.82	0	0	0	0	0	0	0	0	0	1685.7081	0	0	0	4.828313737
118980000	32.061	106.461	174	TOWN&CTY	138.522	0	0	0	0	0	0	0	0	0	3413.246121	0	0	0	5.159055299
119060000	32.818	91.358	160	TOWN&CTY	124.176	0	0	0	0	0	0	0	0	0	2998.186844	0	0	0	5.075173815
129295758	95.691	261.888	412	CHEVAL	357.579	1	0	0	95.691	0	0	261.888	0	0	25060.32461	25060.32461	0	0	6.021023349
129295812	68.095	185.942	383.5	CHEVAL	254.037	1	0	0	68.095	0	0	185.942	0	0	12661.72049	12661.72049	0	0	5.949339621
129295820	55.44	174.062	324.5	CHEVAL	229.502	1	0	0	55.44	0	0	174.062	0	0	9649.99728	9649.99728	0	0	5.782285536
129295832	55.44	162.331	283	CHEVAL	217.771	1	0	0	55.44	0	0	162.331	0	0	8999.63064	8999.63064	0	0	5.645446898
129295836	58.262	147.425	265	CHEVAL	205.687	1	0	0	58.262	0	0	147.425	0	0	8589.27535	8589.27535	0	0	5.579729826
129453012	99.59	288.398	490	CHEVAL	387.988	1	0	0	99.59	0	0	288.398	0	0	28721.55682	28721.55682	0	0	6.194405391
129453016	105.792	309.526	575	CHEVAL	415.318	1	0	0	105.792	0	0	309.526	0	0	32745.37459	32745.37459	0	0	6.354370041
129453100	127.443	299.43	508.5	CHEVAL	426.873	1	0	0	127.443	0	0	299.43	0	0	38160.25749	38160.25749	0	0	6.231465215
129453138	97.373	284.669	542	CHEVAL	382.042	1	0	0	97.373	0	0	284.669	0	0	27719.07454	27719.07454	0	0	6.295266001
129453308	76.44	208.811	400	CHEVAL	285.251	1	0	0	76.44	0	0	208.811	0	0	15961.51284	15961.51284	0	0	5.991464547
129453358	105.478	207.967	365	CHEVAL	313.445	1	0	0	105.478	0	0	207.967	0	0	21935.94323	21935.94323	0	0	5.899897354
129453376	80.651	218.293	440	CHEVAL	298.944	1	0	0	80.651	0	0	218.293	0	0	17605.54874	17605.54874	0	0	6.086774727
129453406	69	219.05	410	CHEVAL	288.05	1	0	0	69	0	0	219.05	0	0	15114.45	15114.45	0	0	6.01615716
129453408	69	254.688	426	CHEVAL	323.688	1	0	0	69	0	0	254.688	0	0	17573.472	17573.472	0	0	6.054439346
129453450	84.39	225.752	372.5	CHEVAL	310.142	1	0	0	84.39	0	0	225.752	0	0	19051.21128	19051.21128	0	0	5.920237038
129453478	82.621	202.923	350	CHEVAL	285.544	1	0	0	82.621	0	0	202.923	0	0	16765.70118	16765.70118	0	0	5.857933154
129453492	128.149	263.623	446.5	CHEVAL	391.772	1	0	0	128.149	0	0	263.623	0	0	33783.02383	33783.02383	0	0	6.1014394
129453556	55.814	285.046	440	CHEVAL	340.86	1	0	0	55.814	0	0	285.046	0	0	15909.55744	15909.55744	0	0	6.086774727
129453566	60.794	212.722	440	CHEVAL	273.516	1	0	0	60.794	0	0	212.722	0	0	12932.22127	12932.22127	0	0	6.086774727
129453570	59.535	191.807	372	CHEVAL	251.342	1	0	0	59.535	0	0	191.807	0	0	11419.22974	11419.22974	0	0	5.918893854
129453594	55.373	212.722	437	CHEVAL	268.095	1	0	0	55.373	0	0	212.722	0	0	11779.05531	11779.05531	0	0	6.079933195
129453600	80.125	253.438	465	CHEVAL	333.563	1	0	0	80.125	0	0	253.438	0	0	20306.71975	20306.71975	0	0	6.142037406
129453754	41.976	140.847	255	CHEVAL	182.823	1	0	0	41.976	0	0	140.847	0	0	5912.193672	5912.193672	0	0	5.541263545
129453758	48.023	168.268	272	CHEVAL	216.291	1	0	0	48.023	0	0	168.268	0	0	8080.734164	8080.734164	0	0	5.605802066
129453804	68.44	157.262	268	CHEVAL	225.702	1	0	0	68.44	0	0	157.262	0	0	10763.01128	10763.01128	0	0	5.590986981
129453834	54.73	166.268	292	CHEVAL	220.998	1	0	0	54.73	0	0	166.268	0	0	9099.84764	9099.84764	0	0	5.676753802
129453928	70.575	214.293	353	CHEVAL	284.868	1	0	0	70.575	0	0	214.293	0	0	15123.72848	15123.72848	0	0	5.866468057
129453944	56.304	207.644	355	CHEVAL	263.948	1	0	0	56.304	0	0	207.644	0	0	11691.18778	11691.18778	0	0	5.872117789
129453960	55.44	208.81	430	CHEVAL	264.25	1	0	0	55.44	0	0	208.81	0	0	11576.4264	11576.4264	0	0	6.063785209
129453978	59.904	207.644	367	CHEVAL	267.548	1	0	0	59.904	0	0	207.644	0	0	12438.70618	12438.70618	0	0	5.905361848
129454138	96.798	248.559	399.9	CHEVAL	345.357	1	0	0	96.798	0	0	248.559	0	0	24060.01408	24060.01408	0	0	5.991214516
129454150	85.065	261.108	415	CHEVAL	346.173	1	0	0	85.065	0	0	261.108	0	0	22211.15202	22211.15202	0	0	6.02827852
129454156	112.382	274.437	424.5	CHEVAL	386.819	1	0	0	112.382	0	0	274.437	0	0	30841.77893	30841.77893	0	0	6.050912006
129454198	77.616	309.835	515	CHEVAL	387.451	1	0	0	77.616	0	0	309.835	0	0	24048.15336	24048.15336	0	0	6.244166901
129454304	71.482	145.952	294	CHEVAL	217.434	1	0	0	71.482	0	0	145.952	0	0	10432.94086	10432.94086	0	0	5.683579767
129454318	71.795	142.961	260	CHEVAL	214.756	1	0	0	71.795	0	0	142.961	0	0	10263.885	10263.885	0	0	5.560681631
129454322	69.034	145.305	289	CHEVAL	214.339	1	0	0	69.034	0	0	145.305	0	0	10030.98537	10030.98537	0	0	5.666426688
129454350	96.445	143.094	306	CHEVAL	239.539	1	0	0	96.445	0	0	143.094	0	0	13800.70083	13800.70083	0	0	5.723585102
129454388	58.344	148.42	202	CHEVAL	206.764	1	0	0	58.344	0	0	148.42	0	0	8659.41648	8659.41648	0	0	5.308267697
129454462	46.2	145.583	245	CHEVAL	191.783	1	0	0	46.2	0	0	145.583	0	0	6725.9346	6725.9346	0	0	5.501258211
129454522	70.502	198.357	385	CHEVAL	268.859	1	0	0	70.502	0	0	198.357	0	0	13984.56521	13984.56521	0	0	5.953243334
129454542	74.252	211.306	423	CHEVAL	285.558	1	0	0	74.252	0	0	211.306	0	0	15689.89311	15689.89311	0	0	6.047372179
129454554	62.542	222.974	430	CHEVAL	285.516	1	0	0	62.542	0	0	222.974	0	0	13945.23991	13945.23991	0	0	6.063785209
129454560	67.565	201.549	320	CHEVAL	269.114	1	0	0	67.565	0	0	201.549	0	0	13617.65819	13617.65819	0	0	5.768320996
129454752	47.792	176.352	285	CHEVAL	224.144	1	0	0	47.792	0	0	176.352	0	0	8428.214784	8428.214784	0	0	5.65248918
129790530	57.487	345.764	529.5	CHEVAL	403.251	1	0	0	57.487	0	0	345.764	0	0	19876.93507	19876.93507	0	0	6.271933165
129790542	85.129	258.51	445	CHEVAL	343.639	1	0	0	85.129	0	0	258.51	0	0	22006.69779	22006.69779	0	0	6.098074282
129790550	59.725	205.144	335	CHEVAL	264.869	1	0	0	59.725	0	0	205.144	0	0	12252.2254	12252.2254	0	0	5.814130532
129790552	61.129	173.263	260	CHEVAL	234.392	1	0	0	61.129	0	0	173.263	0	0	10591.39393	10591.39393	0	0	5.560681631
129790640	59.518	236.388	350	CHEVAL	295.906	1	0	0	59.518	0	0	236.388	0	0	14069.34098	14069.34098	0	0	5.857933154
